age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,Is_Poor_Sleep,Dataset_Type
51,0,2,9.71,86,8.94,10.0,3,37,138,9.17,1,TRAIN
46,1,7,7.63,41,7.03,9.34,1,119,31,9.86,0,TRAIN
56,1,4,4.88,23,8.48,4.3,0,74,120,3.97,0,TRAIN
20,0,3,5.87,14,4.9,4.61,3,3,127,5.47,0,TRAIN
53,1,1,3.07,99,7.97,5.42,3,10,182,4.3,0,TRAIN
28,1,3,4.71,1,4.16,5.03,4,111,71,3.75,0,TRAIN
50,1,7,3.83,2,6.41,3.36,1,37,79,2.96,0,TRAIN
57,1,0,6.22,87,8.24,6.1,4,7,151,5.89,0,TRAIN
54,1,5,3.96,47,5.5,4.75,4,19,242,2.83,0,TRAIN
38,1,4,9.8,26,4.57,10.0,4,22,102,10.0,0,TRAIN
43,0,5,3.91,91,6.66,7.75,3,117,265,8.57,0,TRAIN
55,1,6,8.41,80,8.76,10.0,3,113,166,10.0,1,TRAIN
25,0,2,6.6,101,8.59,10.0,2,39,39,10.0,1,TRAIN
33,1,6,5.14,111,7.84,7.86,4,114,266,8.96,0,TRAIN
55,0,7,5.45,71,4.05,7.42,0,11,117,9.31,0,TRAIN
19,1,0,6.42,89,6.38,6.03,1,86,131,5.89,0,TRAIN
32,0,2,2.2,36,4.05,2.0,0,105,109,4.37,0,TRAIN
44,0,1,2.86,54,8.86,3.15,1,28,234,3.89,0,TRAIN
50,1,0,5.95,58,4.37,8.49,1,58,131,7.99,0,TRAIN
26,0,5,5.46,74,8.97,6.32,4,63,163,5.18,0,TRAIN
35,0,3,4.41,78,4.39,7.65,2,24,141,7.54,0,TRAIN
28,1,1,8.17,49,8.32,10.0,4,95,134,10.0,1,TRAIN
56,0,2,9.85,68,8.23,10.0,4,34,126,10.0,1,TRAIN
58,2,5,3.78,29,4.85,2.94,1,24,69,3.09,0,TRAIN
39,1,6,2.73,45,6.69,3.44,1,84,238,3.38,0,TRAIN
47,0,7,1.66,119,4.32,4.73,2,66,279,4.07,0,TRAIN
43,1,7,2.95,55,7.48,5.22,1,90,96,5.01,0,TRAIN
22,0,1,2.13,27,8.68,2.49,2,92,66,1.48,0,TRAIN
59,1,7,4.54,52,4.29,7.58,0,85,262,7.96,0,TRAIN
21,1,6,7.91,13,7.79,7.75,4,91,248,6.02,0,TRAIN
39,0,0,9.2,111,4.83,10.0,2,52,62,9.31,1,TRAIN
49,0,3,3.74,4,8.0,5.1,0,66,260,4.07,0,TRAIN
57,1,0,3.69,105,5.5,6.05,4,92,41,6.87,0,TRAIN
52,0,3,4.75,47,4.12,6.18,3,34,244,5.26,0,TRAIN
46,0,6,3.31,96,8.33,6.34,0,37,219,5.7,0,TRAIN
58,1,2,7.37,53,7.04,9.1,3,63,165,9.07,0,TRAIN
48,0,5,8.03,40,5.66,8.99,2,16,216,10.0,0,TRAIN
26,1,6,9.2,89,5.6,10.0,2,73,113,9.52,1,TRAIN
21,1,6,7.26,3,5.99,7.88,0,64,162,9.67,0,TRAIN
43,1,4,5.51,49,6.15,5.12,4,13,26,6.41,0,TRAIN
32,1,6,2.65,21,7.07,2.47,1,100,61,4.04,0,TRAIN
53,0,5,3.23,46,6.78,4.5,1,92,117,5.63,0,TRAIN
37,0,4,5.58,112,7.98,8.74,2,95,152,9.25,0,TRAIN
55,1,5,8.28,41,7.76,9.52,0,85,260,9.15,0,TRAIN
28,1,5,6.05,110,5.82,8.83,4,13,298,8.52,0,TRAIN
56,0,6,8.51,84,4.42,10.0,4,9,122,9.15,1,TRAIN
56,0,3,1.03,24,7.56,3.34,4,103,132,3.5,0,TRAIN
31,0,2,6.32,15,7.84,9.38,2,28,172,10.0,0,TRAIN
25,1,1,9.1,119,4.53,10.0,3,40,132,9.6,0,TRAIN
44,0,3,1.97,90,5.73,4.25,0,40,292,4.88,0,TRAIN
44,0,3,8.26,54,7.62,9.47,2,113,169,8.75,0,TRAIN
30,2,7,5.48,17,5.41,9.34,3,35,65,9.78,0,TRAIN
57,1,0,2.79,3,7.41,1.87,3,111,203,1.57,0,TRAIN
32,1,5,3.01,112,4.15,6.07,2,20,128,5.02,0,TRAIN
57,0,1,9.29,6,4.47,8.55,2,53,233,8.94,0,TRAIN
42,1,2,5.81,37,6.59,9.24,4,37,112,10.0,0,TRAIN
47,0,0,4.68,41,7.72,8.08,1,83,121,9.51,0,TRAIN
39,0,1,1.64,34,4.8,1.51,4,33,244,4.34,0,TRAIN
39,1,2,6.13,41,4.53,7.66,0,87,25,8.57,0,TRAIN
29,1,1,3.14,23,5.93,4.22,2,7,224,3.95,0,TRAIN
27,0,7,7.53,59,7.03,7.97,2,55,215,7.5,0,TRAIN
36,0,1,5.83,27,8.4,6.68,3,24,78,7.69,0,TRAIN
51,0,3,1.8,105,5.88,1.61,1,113,64,3.38,0,TRAIN
34,1,5,8.23,15,6.9,10.0,3,29,52,8.54,0,TRAIN
28,1,2,6.61,118,8.98,9.66,4,59,263,9.85,0,TRAIN
26,0,2,4.71,14,4.05,7.53,2,6,243,7.31,0,TRAIN
59,0,3,4.16,92,6.96,5.2,1,39,74,6.12,0,TRAIN
28,0,3,2.69,59,8.94,3.54,3,8,155,3.47,0,TRAIN
32,2,5,4.4,43,8.41,5.92,1,39,298,6.16,0,TRAIN
22,1,3,3.25,96,8.17,6.26,1,51,28,5.96,0,TRAIN
28,1,0,6.68,101,4.46,8.99,2,97,146,6.94,0,TRAIN
48,0,4,9.67,77,7.79,10.0,2,111,37,10.0,1,TRAIN
19,1,1,6.36,11,7.61,5.49,3,58,265,3.26,0,TRAIN
25,0,4,9.47,97,5.04,10.0,2,94,123,8.85,1,TRAIN
45,0,2,4.36,27,7.55,7.9,3,13,25,8.44,0,TRAIN
22,0,3,4.16,70,5.43,8.94,3,98,264,8.27,0,TRAIN
50,1,3,2.44,45,6.71,5.16,4,66,234,5.2,0,TRAIN
53,1,1,2.48,63,8.43,4.38,1,8,82,4.87,0,TRAIN
33,0,6,5.59,104,8.6,8.56,0,87,227,9.76,0,TRAIN
29,0,3,3.08,96,4.41,7.3,0,48,126,6.66,0,TRAIN
18,0,4,8.75,29,7.22,10.0,3,89,134,10.0,0,TRAIN
48,0,0,5.29,106,7.71,7.16,1,78,141,6.82,0,TRAIN
27,0,0,5.5,1,4.69,6.02,3,65,105,6.21,0,TRAIN
46,1,2,8.37,45,4.25,8.6,2,6,80,9.14,0,TRAIN
56,2,4,2.25,112,5.43,3.54,3,23,220,4.24,0,TRAIN
48,0,7,8.76,49,7.14,10.0,4,22,186,9.71,0,TRAIN
27,0,4,3.27,89,8.31,4.76,4,3,282,3.87,0,TRAIN
26,1,2,4.68,54,7.5,6.62,4,31,190,6.02,0,TRAIN
41,0,5,8.85,61,4.29,10.0,1,56,240,8.88,1,TRAIN
47,0,4,2.01,118,7.96,3.95,3,84,244,3.46,0,TRAIN
55,0,3,2.93,109,4.25,4.76,0,54,152,5.03,0,TRAIN
51,0,2,5.7,88,8.24,8.61,0,45,169,9.27,0,TRAIN
29,1,3,5.46,36,7.43,8.22,2,90,256,9.17,0,TRAIN
26,0,0,6.53,52,8.15,8.72,0,25,151,9.07,0,TRAIN
39,2,2,1.15,51,7.99,3.8,3,116,107,3.75,0,TRAIN
31,0,1,1.9,20,5.55,4.48,4,71,128,4.07,0,TRAIN
40,1,3,4.32,58,8.53,6.72,4,86,65,8.01,0,TRAIN
52,1,1,9.59,109,7.8,10.0,2,9,281,10.0,1,TRAIN
48,1,7,2.15,37,6.28,1.8,2,51,224,2.6,0,TRAIN
39,1,5,1.54,90,4.77,3.14,2,23,58,4.13,0,TRAIN
30,0,7,4.58,6,4.43,6.36,0,75,72,5.41,0,TRAIN
24,1,1,5.96,74,5.6,8.99,0,25,216,9.19,0,TRAIN
57,1,0,7.92,94,8.84,9.5,0,23,192,6.89,0,TRAIN
46,1,1,8.66,57,5.68,9.67,1,23,58,8.71,0,TRAIN
49,0,0,7.25,9,4.48,7.19,2,55,176,5.9,0,TRAIN
39,0,3,1.03,35,5.16,3.38,2,23,144,4.14,0,TRAIN
28,1,6,7.15,31,5.02,10.0,0,10,139,10.0,0,TRAIN
38,0,1,6.13,25,4.83,8.24,1,119,40,10.0,0,TRAIN
25,0,3,5.98,30,4.97,7.43,3,42,220,8.28,0,TRAIN
40,0,1,5.83,111,5.14,8.95,0,39,142,9.15,1,TRAIN
59,0,7,8.83,85,5.23,10.0,3,114,262,10.0,1,TRAIN
33,1,0,7.28,2,5.79,9.37,2,107,240,8.45,0,TRAIN
33,0,0,4.5,75,4.17,4.6,4,105,273,3.84,0,TRAIN
34,1,2,4.6,48,4.47,4.97,4,100,161,5.18,0,TRAIN
41,1,0,8.05,77,6.35,9.57,4,97,77,9.54,0,TRAIN
21,1,6,6.05,97,4.9,9.43,0,14,297,10.0,0,TRAIN
57,0,5,2.0,76,5.62,3.23,4,51,246,3.72,0,TRAIN
42,1,0,8.37,118,4.37,10.0,1,103,208,10.0,1,TRAIN
45,0,3,5.5,62,4.41,6.6,1,116,175,6.1,0,TRAIN
36,1,4,1.26,47,5.06,3.49,1,49,42,3.72,0,TRAIN
56,0,2,4.26,36,5.62,8.8,2,24,54,8.31,0,TRAIN
45,1,0,4.37,92,5.53,6.31,0,21,233,5.37,0,TRAIN
24,1,6,1.04,22,4.56,2.41,4,81,194,2.49,0,TRAIN
58,1,3,7.18,97,4.59,9.74,2,2,47,10.0,0,TRAIN
38,1,5,5.94,24,8.39,6.39,2,69,200,3.39,0,TRAIN
27,1,7,1.85,11,8.15,2.35,1,83,35,3.16,0,TRAIN
40,1,5,8.13,97,4.72,10.0,4,81,282,10.0,1,TRAIN
33,1,5,7.07,79,5.29,10.0,4,38,218,10.0,0,TRAIN
42,0,0,8.63,119,8.1,10.0,3,22,50,10.0,0,TRAIN
33,1,0,9.94,72,8.75,10.0,4,57,265,10.0,1,TRAIN
45,1,0,4.88,78,7.02,7.96,0,51,88,8.61,0,TRAIN
53,1,4,4.2,28,4.01,4.19,1,34,221,4.81,0,TRAIN
24,1,7,9.79,2,5.79,10.0,1,6,209,9.88,0,TRAIN
27,1,2,3.61,34,5.51,3.02,2,6,121,3.04,0,TRAIN
58,0,4,2.95,74,4.12,6.54,4,106,284,6.83,0,TRAIN
48,0,2,6.5,9,5.77,7.33,2,97,41,8.03,0,TRAIN
48,1,0,7.15,117,8.79,10.0,4,52,224,9.18,1,TRAIN
48,1,1,6.45,13,6.73,4.28,1,62,280,3.51,0,TRAIN
50,1,7,7.64,104,7.51,10.0,3,18,34,9.37,1,TRAIN
53,1,7,9.72,8,7.36,10.0,0,4,235,9.54,0,TRAIN
18,0,1,6.51,48,7.75,9.45,4,80,55,8.51,0,TRAIN
36,0,0,6.83,76,6.5,9.74,2,105,64,8.7,0,TRAIN
49,0,5,3.06,81,5.44,5.09,1,11,191,6.42,0,TRAIN
43,0,4,1.07,34,8.95,1.0,4,37,37,1.0,0,TRAIN
20,1,5,7.75,7,7.4,8.44,4,112,279,6.38,0,TRAIN
28,0,5,1.12,57,5.94,2.9,2,103,189,3.61,0,TRAIN
54,0,1,2.13,90,4.08,2.35,1,37,215,1.96,0,TRAIN
27,0,3,2.28,7,7.06,3.96,2,37,91,5.34,0,TRAIN
49,0,1,3.47,59,6.42,5.86,2,50,263,5.69,0,TRAIN
23,1,4,3.56,8,5.2,2.65,3,3,173,3.27,0,TRAIN
45,1,5,7.05,92,7.82,10.0,2,93,189,10.0,0,TRAIN
22,1,1,1.92,22,7.26,2.98,1,56,50,2.42,0,TRAIN
58,1,4,3.59,104,5.6,6.62,2,14,105,6.32,0,TRAIN
52,0,6,3.7,94,6.51,4.41,1,9,181,3.06,0,TRAIN
49,0,7,5.5,60,7.56,7.56,2,12,240,7.86,0,TRAIN
51,0,5,6.43,105,5.73,9.73,3,60,239,9.23,0,TRAIN
20,1,5,1.89,114,6.41,2.55,3,39,190,3.52,0,TRAIN
40,0,0,4.44,77,5.89,7.41,2,93,116,8.22,0,TRAIN
20,1,6,4.76,110,7.35,9.09,4,43,211,10.0,0,TRAIN
41,0,0,5.27,116,5.06,7.38,4,47,55,7.87,0,TRAIN
49,0,7,3.67,2,7.94,4.33,4,27,247,3.8,0,TRAIN
22,1,1,9.95,72,4.6,10.0,1,36,299,9.9,1,TRAIN
25,1,3,2.73,70,4.39,3.95,4,59,162,4.81,0,TRAIN
59,1,0,1.35,34,6.89,1.39,1,101,198,1.66,0,TRAIN
24,0,5,2.61,49,8.34,4.94,0,35,262,4.72,0,TRAIN
38,0,5,2.83,66,4.57,5.74,0,21,198,4.52,0,TRAIN
36,1,5,3.65,119,8.95,6.84,4,69,292,7.44,1,TRAIN
32,0,3,9.54,59,8.27,10.0,0,24,286,8.31,0,TRAIN
45,1,7,7.29,69,5.25,8.81,1,36,84,8.71,0,TRAIN
38,1,5,2.71,58,4.24,3.22,0,113,80,3.47,0,TRAIN
38,1,3,5.64,51,5.46,5.05,3,107,260,5.65,0,TRAIN
41,0,4,4.92,21,6.02,6.71,3,41,282,7.55,0,TRAIN
21,0,3,9.38,81,6.65,10.0,1,43,162,9.71,1,TRAIN
28,1,3,2.12,17,8.08,1.0,3,16,165,1.0,0,TRAIN
36,1,5,9.37,69,5.91,10.0,4,9,94,9.48,0,TRAIN
26,0,0,6.92,55,8.55,8.9,2,5,40,7.87,0,TRAIN
18,0,3,5.55,44,8.1,7.55,1,80,110,7.04,0,TRAIN
34,0,2,6.41,90,5.74,10.0,2,114,50,9.95,0,TRAIN
58,1,0,1.16,104,6.29,4.4,4,81,42,4.58,0,TRAIN
43,1,0,8.68,88,4.18,10.0,4,27,252,8.71,1,TRAIN
41,1,6,8.76,62,5.96,10.0,0,97,150,9.67,0,TRAIN
35,0,3,5.16,88,8.16,7.05,1,30,191,8.11,0,TRAIN
53,0,2,4.62,61,7.87,5.46,1,45,58,5.15,0,TRAIN
31,0,5,9.28,117,7.18,9.87,2,76,286,8.14,0,TRAIN
45,1,3,9.11,84,4.88,10.0,1,109,212,9.99,0,TRAIN
22,2,1,4.79,46,8.74,7.38,0,60,182,7.48,0,TRAIN
40,0,7,1.45,49,6.45,2.2,4,40,277,1.0,0,TRAIN
55,1,3,8.97,89,8.55,10.0,3,110,294,9.82,1,TRAIN
31,1,0,9.16,104,6.79,10.0,2,29,73,8.95,0,TRAIN
24,1,4,2.3,71,6.93,5.1,1,10,240,5.96,0,TRAIN
52,2,4,7.22,34,6.91,7.58,1,113,261,7.72,0,TRAIN
43,0,5,2.97,77,7.84,5.51,4,39,71,6.25,0,TRAIN
33,0,4,6.52,44,4.43,8.05,1,26,29,8.31,0,TRAIN
33,0,3,7.04,3,8.85,7.25,2,9,67,7.06,0,TRAIN
51,0,5,5.72,116,5.68,7.84,2,57,140,7.92,0,TRAIN
32,1,3,7.6,95,6.82,10.0,2,36,148,10.0,0,TRAIN
40,0,5,3.49,19,6.72,2.86,3,6,128,2.29,0,TRAIN
53,1,4,6.09,113,4.82,7.48,4,60,63,7.2,0,TRAIN
29,0,1,5.68,86,5.55,9.71,4,33,130,8.73,0,TRAIN
32,0,2,1.52,11,8.94,1.0,1,74,124,1.0,0,TRAIN
43,2,4,5.39,3,7.71,7.87,3,23,292,7.36,0,TRAIN
37,0,2,7.96,30,4.65,8.52,0,85,282,7.18,0,TRAIN
20,1,2,1.35,99,4.85,2.64,0,46,80,2.25,0,TRAIN
55,1,6,4.48,77,4.23,7.3,1,107,271,5.48,0,TRAIN
56,0,3,6.46,80,6.63,7.57,2,38,189,6.59,0,TRAIN
57,0,7,3.44,66,7.51,5.53,3,100,53,6.52,0,TRAIN
53,0,6,3.17,111,8.57,6.38,2,102,52,5.49,0,TRAIN
37,0,6,4.13,117,8.2,5.9,4,82,271,6.44,0,TRAIN
43,0,4,7.05,119,4.33,9.09,3,12,113,8.83,0,TRAIN
57,1,3,6.28,61,8.04,3.96,3,91,136,3.0,0,TRAIN
23,1,5,3.46,110,7.69,5.97,3,18,35,5.2,0,TRAIN
41,1,1,2.68,19,5.32,3.74,1,33,183,3.21,0,TRAIN
47,0,5,8.43,82,5.22,9.41,2,36,164,8.87,0,TRAIN
20,1,6,5.23,57,5.96,7.54,2,59,135,6.22,0,TRAIN
47,0,3,4.82,119,4.07,9.02,2,62,117,10.0,1,TRAIN
18,1,2,4.26,36,8.0,5.22,1,102,221,4.01,0,TRAIN
52,1,0,7.74,17,5.04,7.76,3,102,207,6.67,0,TRAIN
54,1,4,4.49,75,7.17,5.28,0,91,27,5.57,0,TRAIN
49,1,1,8.87,65,7.03,10.0,1,117,282,7.86,0,TRAIN
25,0,7,4.29,117,8.73,9.74,2,60,114,10.0,1,TRAIN
59,1,4,9.99,56,6.51,10.0,4,76,293,8.02,1,TRAIN
50,1,1,7.37,8,4.44,8.33,3,112,111,6.82,0,TRAIN
27,2,0,5.6,51,7.7,7.97,2,9,212,7.78,0,TRAIN
26,0,3,5.26,75,5.58,7.72,3,49,257,8.69,0,TRAIN
31,1,3,4.46,82,5.72,5.94,4,110,151,5.5,0,TRAIN
36,1,1,1.62,16,6.33,2.44,4,93,185,2.92,0,TRAIN
30,1,2,5.88,104,5.96,10.0,4,28,189,10.0,1,TRAIN
32,1,5,1.26,42,8.19,1.68,2,20,68,2.78,0,TRAIN
18,1,5,2.16,48,4.97,4.33,1,33,280,5.27,0,TRAIN
31,0,2,3.48,79,7.8,4.16,1,5,173,3.63,0,TRAIN
57,2,4,9.86,110,4.93,10.0,4,119,201,10.0,1,TRAIN
39,1,1,5.29,43,6.08,7.17,4,49,225,8.13,0,TRAIN
48,0,3,9.5,79,6.68,10.0,4,17,123,10.0,1,TRAIN
36,0,5,6.33,115,4.82,9.71,0,48,133,8.42,0,TRAIN
58,1,6,8.97,45,8.93,10.0,1,76,207,7.86,0,TRAIN
50,1,2,6.61,118,6.86,8.37,1,4,52,7.8,0,TRAIN
49,0,3,7.34,38,5.61,9.47,0,98,43,10.0,0,TRAIN
40,0,4,3.36,114,8.15,4.34,1,3,249,2.68,0,TRAIN
35,0,1,8.36,101,5.55,10.0,2,111,275,9.9,1,TRAIN
29,1,0,2.11,3,7.78,4.8,1,114,47,4.13,0,TRAIN
55,0,4,4.96,94,8.06,8.8,1,38,86,9.36,0,TRAIN
36,0,0,9.82,30,4.94,10.0,3,39,210,10.0,1,TRAIN
25,1,0,5.43,95,6.13,8.45,2,108,283,9.31,0,TRAIN
36,1,0,4.86,35,4.25,7.08,1,67,210,8.79,0,TRAIN
48,1,3,1.44,56,8.82,5.6,1,119,37,5.43,0,TRAIN
22,0,5,4.65,15,7.06,6.78,1,105,70,6.82,0,TRAIN
43,0,7,6.66,118,4.23,9.76,0,38,175,9.14,0,TRAIN
31,1,7,7.12,109,8.6,10.0,2,89,51,10.0,1,TRAIN
18,1,1,5.02,57,5.23,7.52,1,112,238,5.34,0,TRAIN
24,0,7,6.45,47,4.67,8.52,2,66,21,8.27,0,TRAIN
32,1,3,3.9,7,5.64,6.38,0,0,71,6.31,0,TRAIN
47,1,4,7.82,10,8.79,10.0,1,109,141,9.68,0,TRAIN
48,1,4,7.72,52,6.77,9.47,2,112,33,10.0,0,TRAIN
26,0,4,4.43,63,4.03,5.02,2,118,181,5.85,0,TRAIN
56,1,4,9.5,18,5.7,10.0,2,88,70,9.47,0,TRAIN
27,1,7,4.15,31,4.89,4.62,4,9,140,4.58,0,TRAIN
39,1,5,1.09,81,7.92,2.14,1,33,177,3.29,0,TRAIN
25,1,0,6.67,101,4.07,8.42,0,54,51,8.55,0,TRAIN
34,1,4,1.47,35,8.08,2.55,3,29,244,2.74,0,TRAIN
39,0,2,1.48,85,6.36,3.38,0,33,218,2.74,0,TRAIN
31,1,3,8.53,4,4.61,10.0,4,69,36,8.68,0,TRAIN
40,1,3,3.36,89,6.5,3.48,2,66,127,4.5,0,TRAIN
47,1,6,1.95,20,7.66,1.9,1,70,299,2.79,0,TRAIN
26,1,5,4.88,100,7.37,8.03,3,4,293,7.12,0,TRAIN
32,2,0,8.63,40,5.3,10.0,2,40,243,8.72,0,TRAIN
51,0,2,2.92,8,7.26,6.26,2,107,131,6.05,0,TRAIN
53,0,2,2.81,53,5.12,3.12,0,119,92,3.01,0,TRAIN
23,1,7,4.29,42,6.53,6.54,4,18,129,8.05,0,TRAIN
57,0,6,6.65,73,4.64,7.6,3,44,261,7.72,0,TRAIN
21,0,1,6.78,45,7.02,7.5,0,21,292,7.04,0,TRAIN
30,1,5,3.76,117,4.98,6.23,3,60,58,6.92,0,TRAIN
39,1,7,7.84,117,4.53,10.0,1,10,268,10.0,1,TRAIN
55,1,7,4.99,101,6.14,8.22,0,85,132,7.3,0,TRAIN
39,0,7,8.07,97,6.62,10.0,1,72,148,10.0,0,TRAIN
46,1,7,3.54,95,8.78,7.28,2,115,193,7.46,0,TRAIN
39,2,6,6.62,10,4.74,6.13,3,84,201,7.03,0,TRAIN
27,1,5,9.94,89,7.81,10.0,1,34,38,10.0,0,TRAIN
45,1,6,2.31,83,4.45,7.28,2,79,73,7.46,0,TRAIN
21,1,7,5.9,3,8.67,6.63,1,9,54,7.43,0,TRAIN
43,1,4,6.64,71,6.25,6.82,3,0,24,4.68,0,TRAIN
44,0,7,1.5,72,8.45,4.23,4,114,176,2.27,0,TRAIN
45,0,2,2.56,22,8.52,2.9,2,25,83,2.44,0,TRAIN
29,1,4,1.33,42,7.71,1.0,3,73,296,2.36,0,TRAIN
43,0,1,1.8,17,7.0,1.98,1,113,150,1.19,0,TRAIN
40,1,6,8.03,7,4.79,8.14,4,101,59,8.5,0,TRAIN
44,0,1,7.46,39,6.4,10.0,4,63,72,10.0,1,TRAIN
46,0,3,2.2,33,5.47,3.11,3,4,69,3.79,0,TRAIN
53,1,7,6.55,28,6.87,7.36,2,78,56,7.17,0,TRAIN
31,0,1,5.4,96,8.31,10.0,0,1,262,10.0,0,TRAIN
44,1,6,3.12,8,7.6,2.9,2,65,43,3.57,0,TRAIN
23,1,4,5.64,88,4.12,8.37,1,65,54,8.54,0,TRAIN
40,0,0,1.61,95,4.72,6.66,0,119,49,6.17,0,TRAIN
44,1,0,8.05,96,7.27,10.0,1,17,163,10.0,0,TRAIN
55,1,6,5.86,73,8.38,7.13,4,22,283,7.44,0,TRAIN
48,0,0,1.62,94,6.32,3.43,0,56,32,2.56,0,TRAIN
44,1,7,3.81,67,7.42,6.23,3,77,212,7.26,0,TRAIN
56,0,1,6.6,13,6.24,8.19,1,62,222,6.32,0,TRAIN
45,1,4,6.12,110,7.44,8.89,0,59,292,8.41,0,TRAIN
53,0,2,1.52,46,8.14,1.49,1,27,298,1.0,0,TRAIN
24,0,4,7.39,98,8.84,8.4,2,59,45,7.86,0,TRAIN
45,1,0,8.91,51,4.67,10.0,0,112,46,9.56,1,TRAIN
35,1,5,2.24,83,6.72,3.83,3,44,269,4.59,0,TRAIN
27,1,4,8.29,11,5.49,10.0,3,15,23,10.0,0,TRAIN
45,0,0,9.18,22,8.94,10.0,3,12,173,9.74,0,TRAIN
32,2,5,5.07,57,8.85,4.13,2,31,232,4.56,0,TRAIN
49,0,2,7.26,93,5.52,9.32,1,57,151,8.38,0,TRAIN
20,0,4,6.44,96,8.82,7.77,3,74,186,9.29,1,TRAIN
24,2,5,6.45,115,5.6,9.05,2,8,167,8.67,0,TRAIN
37,1,4,4.8,93,7.05,8.81,2,46,129,9.61,0,TRAIN
30,1,3,5.67,44,4.02,9.52,2,70,211,7.93,0,TRAIN
20,0,4,8.76,74,5.88,10.0,0,68,248,10.0,0,TRAIN
51,0,2,5.66,82,4.41,7.5,3,28,125,7.87,0,TRAIN
38,1,4,9.88,64,8.93,10.0,0,84,181,10.0,0,TRAIN
44,1,4,2.83,16,8.21,3.22,1,47,198,2.23,0,TRAIN
55,2,6,9.1,67,4.33,10.0,4,112,97,8.37,1,TRAIN
43,1,1,6.54,82,7.11,9.11,4,104,92,9.31,0,TRAIN
18,1,3,2.09,79,5.59,4.39,4,17,66,5.79,0,TRAIN
28,1,5,9.29,80,4.12,10.0,0,74,231,9.89,1,TRAIN
41,0,2,4.69,68,5.99,9.83,4,52,244,10.0,1,TRAIN
34,0,5,9.27,51,4.88,10.0,4,74,161,10.0,1,TRAIN
25,0,5,2.5,118,8.83,4.92,4,29,181,4.98,0,TRAIN
47,0,0,8.79,66,7.35,10.0,2,52,250,9.54,0,TRAIN
56,1,6,7.92,103,7.0,10.0,0,27,90,9.2,0,TRAIN
50,0,5,5.01,27,4.59,8.36,3,83,173,5.84,0,TRAIN
39,1,0,6.09,116,5.06,9.94,3,13,59,8.57,0,TRAIN
55,0,6,6.52,113,5.56,10.0,3,60,66,10.0,0,TRAIN
59,0,5,9.73,76,8.68,10.0,4,47,54,10.0,1,TRAIN
